ID da música,Duração (em minutos),Estimativa de popularidade nos EUA,Dançabilidade,Energia,Instrumentalidade,Ano de Lançamento,Escala musical,Música foi pulada no início,Música não foi pulada,Escutada em qual hora do dia
t_feb4ef97-cd30-4c33-9032-ef1f1a58d655,3.366444396972655,99.83513861604416,0.765981912612915,0.7610670924186707,2.401337592314312e-12,2017,Menor,Falso,Falso,9
t_7a7e4a76-7914-4d21-8773-6a54a0812de5,3.843999989827474,99.98288370131256,0.6287397742271423,0.7362626194953918,4.96131917770981e-08,2016,Maior,Verdadeiro,Verdadeiro,14
t_f0db29da-fe13-472b-bfdf-d5a0bd783502,4.1271110534667965,99.97384786537704,0.6309530735015869,0.7494074702262878,5.208509719523136e-06,1971,Maior,Falso,Verdadeiro,22
t_c823babf-7191-49b0-ba86-48439914cc62,4.175238291422526,99.44755947748936,0.7136499881744384,0.6196603178977966,0.6433871984481812,2015,Menor,Falso,Verdadeiro,16
t_93f9d8eb-6110-47d6-a1e4-6b6b9819f1d1,4.569333394368489,99.79171899573164,0.6563287377357482,0.6548147797584533,2.4889953209594757e-08,2016,Menor,Verdadeiro,Falso,14
t_b4ec3d4f-ff28-43dd-b6c9-fd9bea944ff9,3.0204444885253907,99.89753381349574,0.4913863837718963,0.3569443821907043,2.6827482457747465e-08,1960,Menor,Falso,Falso,21
t_1a03a7a6-415a-4ac0-91d2-c8603f18247a,3.2095555623372403,99.99385280082848,0.7914527654647827,0.71253502368927,4.67464218445457e-07,2008,Menor,Falso,Verdadeiro,14
t_2352761a-2780-49c9-86cc-aad9108d0747,2.534022013346354,99.98439878807856,0.6285774111747741,0.6755201816558837,0.0003247028798796,2017,Menor,Verdadeiro,Falso,18
t_03968e06-45df-418c-a153-241c606eb4c8,3.5849327087402347,99.5018420447418,0.4359723627567291,0.2352204620838165,0.6776008605957031,2017,Maior,Falso,Falso,13
t_11e96b23-6941-4fd8-827e-2d0291486b2f,3.057777913411458,99.97350849880844,0.4703591465950012,0.7266323566436766,4.235531605445432e-07,2017,Maior,Falso,Verdadeiro,17
t_1c514a99-e7a4-474c-88e1-d6d417111e79,4.271543375651041,98.05572067731713,0.7833781242370605,0.5446943640708923,8.182467354345134e-06,2016,Maior,Falso,Verdadeiro,8
t_8d13059a-3412-46ef-a765-a17512af94d6,3.609600067138672,99.79819108612053,0.850867748260498,0.422000765800476,7.084177156002626e-08,2015,Maior,Verdadeiro,Falso,12
t_452ee98d-f129-455d-b59c-1a128bce19bc,3.5860000610351555,99.39535171058525,0.2774757146835327,0.4407969713211059,2.276434315717779e-05,2017,Maior,Falso,Verdadeiro,19
t_0ee86cd0-e970-4104-84c0-7797428de088,5.181555684407552,99.9816902890192,0.4005340933799743,0.9332635998725892,0.6271475553512573,2004,Maior,Verdadeiro,Falso,7
t_51f626eb-7310-40d9-bce2-444964191b99,3.611555480957031,99.96202632850874,0.8813956379890441,0.3606495261192321,0.0045770057477056,1991,Menor,Verdadeiro,Verdadeiro,18
